Fighter,Elo,UFC Record,Unbeaten Streak,Avg. Opp. Elo,Last 5 Fights,DelME,DelME1,DelME2,DelME3
Johny Hendricks,158.910,13-8-0,0,164.914,- 18.2,- 19.2,+ 12.3,- 16.1,- 18.6
Cheick Kongo,158.888,11-6-1,0,116.148,- 17.8,+ 13.9,- 19.0,+ 16.4,+ 14.4
Nathaniel Wood,158.487,6-2-0,2,116.323,+ 14.2,+ 13.4,- 15.9,+ 14.5,- 16.5
Dennis Siver,158.337,12-8-0,1,122.001,+ 15.6,- 18.8,- 16.5,+ 13.0,- 17.4
Adrian Yanez,158.239,5-1-0,0,117.274,- 16.4,+ 14.0,+ 14.1,+ 15.2,+ 15.3
Ryan Spann,158.081,7-3-0,0,131.245,- 17.0,+ 15.6,+ 14.4,- 15.2,+ 16.1
Mike Pierce,158.023,9-5-0,0,135.302,- 17.2,- 18.5,+ 11.7,+ 15.2,+ 16.2
Jiri Prochazka,157.991,3-0-0,3,192.462,+ 21.6,+ 18.3,+ 18.1,+ 0.0,+ 0.0
Johnny Walker,157.707,7-4-0,3,145.044,+ 17.7,+ 17.3,+ 15.5,- 15.5,- 14.4
Joanna Jedrzejczyk,157.432,10-5-0,0,138.079,- 17.0,- 17.2,+ 14.8,- 18.6,+ 14.9
Donald Cerrone,157.151,23-14-0,0,159.378,- 16.4,- 18.6,- 19.5,- 16.7,- 21.1
Rashad Evans,157.050,14-8-1,0,163.315,- 18.6,- 18.1,- 18.4,- 18.0,- 17.5
Rousimar Palhares,157.034,8-4-0,1,122.320,+ 18.5,- 19.2,- 16.6,+ 12.6,+ 14.5
Ketlen Vieira,156.939,7-3-0,0,127.351,- 15.2,+ 15.4,+ 15.7,- 17.8,+ 15.4
Sergio Pettis,156.887,9-5-0,1,125.713,+ 14.0,- 17.2,- 17.0,+ 19.5,- 16.9
JunYong Park,156.800,6-2-0,3,93.718,+ 14.0,+ 14.6,+ 15.8,- 16.6,+ 16.2
Damir Ismagulov,156.798,5-1-0,0,111.625,- 17.0,+ 14.0,+ 13.9,+ 14.6,+ 15.3
Ronda Rousey,156.564,6-2-0,0,129.016,- 15.9,- 18.6,+ 14.6,+ 14.7,+ 16.0
Pedro Rizzo,156.302,9-5-0,2,133.359,+ 16.9,+ 14.2,- 17.1,- 19.5,+ 13.8
Sage Northcutt,155.855,6-2-0,3,99.100,+ 15.0,+ 13.5,+ 14.7,- 15.9,+ 14.6
Jared Rosholt,155.625,6-2-0,0,115.205,- 19.8,+ 16.3,+ 14.7,+ 13.9,- 17.5
Paul Felder,155.580,9-6-0,0,150.609,- 14.6,- 16.1,+ 16.7,+ 18.2,- 18.4
Cub Swanson,155.579,13-9-0,0,148.133,- 16.5,+ 17.3,- 15.9,+ 13.3,+ 14.8
Nate Quarry,155.286,7-3-0,0,122.224,- 18.4,+ 15.5,+ 14.3,- 16.6,+ 13.9
Quinton Jackson,154.816,8-5-0,1,162.190,+ 15.1,- 17.1,- 16.8,- 15.7,+ 17.0
Matt Hamill,154.737,9-5-0,0,131.245,- 17.1,+ 13.3,- 18.0,- 17.0,+ 16.1
Roger Huerta,153.768,6-2-0,0,119.595,- 15.6,- 16.4,+ 12.7,+ 13.3,+ 13.9
Jens Pulver,153.539,6-2-1,0,114.209,- 17.0,- 20.1,+ 14.6,+ 14.0,+ 13.8
Andrei Arlovski,153.537,23-16-0,0,127.147,- 19.9,- 19.0,+ 12.3,+ 12.3,+ 15.0
Brandon Royval,153.335,5-2-0,3,133.343,+ 18.4,+ 16.8,+ 15.9,- 14.1,- 15.1
Thiago Santos,152.934,14-10-0,0,140.201,- 16.9,- 15.8,+ 14.4,- 17.1,- 14.6
Mike Swick,152.638,10-5-0,0,126.402,- 18.5,- 18.2,+ 12.6,- 19.3,- 18.9
Diego Sanchez,152.452,19-13-0,0,139.893,- 15.9,+ 13.5,- 16.4,+ 15.5,+ 13.6
Ricardo Ramos,152.238,7-3-0,1,110.965,+ 14.2,- 17.2,+ 14.3,- 18.8,+ 14.6
Matthew Riddle,152.185,7-3-0,2,108.233,+ 15.1,+ 15.0,- 17.8,- 18.7,+ 14.8
Jorge Masvidal,151.900,12-10-0,0,174.971,- 12.8,- 13.6,- 11.1,- 12.8,+ 16.1
Myles Jury,151.868,8-4-0,0,136.443,- 18.4,- 17.0,+ 13.4,+ 12.7,- 17.1
Raphael Assuncao,151.610,12-7-0,0,131.988,- 18.9,+ 14.3,- 16.3,- 17.8,- 17.9
Tai Tuivasa,151.609,8-5-0,0,141.990,- 16.5,- 15.2,+ 19.6,+ 15.2,+ 15.3
Marina Rodriguez,151.138,6-3-2,0,137.380,- 18.3,- 17.1,+ 15.9,+ 16.8,+ 15.9
Karo Parisyan,150.936,8-4-0,0,120.498,- 20.2,- 18.0,+ 12.5,+ 15.3,+ 14.7
Al Iaquinta,150.393,9-6-0,0,150.105,- 18.2,- 16.8,- 13.6,+ 17.4,- 14.2
Norma Dumont,150.225,5-2-0,2,119.191,+ 16.9,+ 15.2,- 15.8,+ 17.4,+ 16.3
Gillian Robertson,149.792,9-5-0,2,106.137,+ 15.8,+ 15.1,- 15.6,+ 14.5,- 17.0
Cody Garbrandt,149.733,8-5-0,1,156.344,+ 13.0,- 16.6,- 15.4,+ 17.8,- 15.9
Mark Madsen,149.594,4-1-0,0,138.328,- 14.7,+ 17.5,+ 16.2,+ 15.4,+ 15.2
Anthony Hernandez,149.560,5-2-0,4,108.281,+ 15.8,+ 14.8,+ 15.9,+ 18.1,- 15.2
Azamat Murzakanov,149.359,3-0-0,3,126.287,+ 16.7,+ 16.0,+ 16.7,+ 0.0,+ 0.0
Khaos Williams,149.214,5-2-0,1,130.945,+ 14.4,- 15.3,+ 16.0,+ 16.6,- 17.5
Jalin Turner,148.279,6-3-0,0,117.223,- 17.0,+ 15.9,+ 14.6,+ 15.8,+ 15.9
Ruslan Magomedov,148.153,3-0-0,3,116.862,+ 16.9,+ 15.3,+ 16.0,+ 0.0,+ 0.0
Leonardo Santos,148.113,7-3-1,0,124.592,- 17.4,- 19.0,- 17.9,+ 11.9,+ 14.4
Rodrigo Nascimento,147.728,4-1-0,3,110.828,+ 17.0,+ 16.1,+ 15.3,- 16.0,+ 15.3
Alan Belcher,147.696,9-6-0,0,122.178,- 14.8,- 15.1,+ 16.6,+ 13.4,+ 14.6
Matt Mitrione,147.617,9-5-0,0,123.002,- 15.6,- 18.7,+ 15.1,+ 15.1,+ 15.2
Jimmie Rivera,147.577,7-4-0,0,150.050,- 16.4,+ 16.9,- 16.0,- 16.1,+ 16.3
Matt Brown,147.505,17-13-0,1,130.841,+ 14.2,- 17.4,+ 13.8,- 17.9,- 18.7
Alex Perez,147.302,6-3-0,0,139.753,- 15.6,- 14.3,+ 15.7,+ 13.8,+ 15.1
Javid Basharat,147.255,3-0-0,3,110.834,+ 14.5,+ 16.8,+ 16.0,+ 0.0,+ 0.0
Carlos Ulberg,147.233,4-1-0,4,102.891,+ 14.6,+ 17.4,+ 15.9,+ 15.3,- 16.0
Mark Bocek,147.177,8-5-0,1,114.853,+ 14.5,- 16.4,+ 13.2,+ 18.7,- 17.6
Evan Tanner,147.006,11-6-0,0,117.101,- 19.2,- 16.8,+ 12.8,- 18.7,- 17.9
Mike Malott,146.876,3-0-0,3,108.310,+ 14.6,+ 15.2,+ 17.1,+ 0.0,+ 0.0
Calvin Kattar,146.808,7-5-0,0,168.795,- 12.9,- 14.9,+ 18.2,- 12.4,+ 17.4
Brett Johns,146.402,5-2-0,2,119.321,+ 16.1,+ 15.3,- 15.7,- 16.0,+ 15.2
Mark Munoz,146.310,9-6-0,1,138.074,+ 15.1,- 19.0,- 18.9,- 15.3,+ 15.1
James Vick,146.287,9-5-0,0,138.580,- 17.5,- 17.4,- 18.2,- 21.7,+ 16.4
Kennedy Nzechukwu,146.240,6-3-0,3,106.584,+ 15.4,+ 14.3,+ 15.4,- 16.2,- 15.4
Nik Lentz,146.183,14-9-1,0,129.298,- 16.6,- 15.7,- 15.9,+ 14.4,+ 15.5
Claudio Puelles,145.899,5-2-0,0,113.729,- 16.4,+ 15.6,+ 14.7,+ 16.1,+ 15.2
Natalia Silva,145.832,3-0-0,3,100.450,+ 13.9,+ 15.2,+ 16.7,+ 0.0,+ 0.0
Tatsuro Taira,145.826,3-0-0,3,99.986,+ 14.6,+ 15.3,+ 16.0,+ 0.0,+ 0.0
Josiane Nunes,145.646,3-0-0,3,99.392,+ 13.1,+ 15.2,+ 17.4,+ 0.0,+ 0.0
Kyler Phillips,144.614,4-1-0,1,110.356,+ 13.8,- 18.1,+ 18.3,+ 15.3,+ 15.3
Martin Buday,144.525,3-0-0,3,90.403,+ 13.3,+ 15.3,+ 16.0,+ 0.0,+ 0.0
Trevin Giles,144.433,7-4-0,2,115.440,+ 14.8,+ 14.6,- 17.5,- 17.6,+ 15.8
Jeff Molina,144.400,3-0-0,3,89.465,+ 13.1,+ 15.3,+ 16.0,+ 0.0,+ 0.0
Alatengheili,144.246,4-1-1,3,102.007,+ 15.4,+ 14.0,- 0.7,- 15.9,+ 15.5
Mayra Bueno Silva,144.146,5-2-1,3,103.858,+ 13.4,+ 16.2,+ 14.6,- 15.3,- 0.4
Hakeem Dawodu,143.984,6-3-0,0,118.353,- 18.5,+ 15.3,- 15.9,+ 15.9,+ 15.8
Justin Willis,143.935,4-1-0,0,112.817,- 16.4,+ 15.2,+ 13.8,+ 15.3,+ 16.0
Holly Holm,143.890,8-6-0,1,140.925,+ 15.7,- 15.4,+ 16.5,+ 17.7,- 11.0
Alonzo Menifield,143.498,6-3-1,3,113.637,- 2.7,+ 14.4,+ 15.2,- 16.8,+ 17.6
Stevie Ray,143.423,7-4-0,1,123.836,+ 16.2,- 14.4,+ 14.8,- 16.6,- 17.1
Alejandro Perez,143.414,8-4-1,0,105.569,- 17.4,+ 13.1,- 16.9,- 18.2,+ 12.9
Pat Sabatini,143.266,4-1-0,0,110.592,- 17.1,+ 13.1,+ 15.2,+ 15.3,+ 16.8
Irene Aldana,143.158,7-5-0,0,131.200,- 11.0,+ 16.8,+ 16.8,- 16.5,+ 17.9
Luana Pinheiro,142.937,3-0-0,3,77.214,+ 14.9,+ 14.0,+ 14.0,+ 0.0,+ 0.0
Michael McDonald,142.851,6-3-0,0,127.718,- 14.7,+ 14.1,- 16.4,+ 14.8,- 16.0
Bryan Battle,142.744,4-1-0,1,101.209,+ 14.8,- 17.4,+ 14.1,+ 15.3,+ 16.0
Ricco Rodriguez,142.565,5-2-0,0,125.022,- 16.9,- 18.8,+ 17.3,+ 14.5,+ 14.5
Jerry Bohlander,142.365,5-2-0,0,106.838,- 18.7,+ 14.5,+ 15.3,+ 15.3,+ 16.0
Guy Mezger,141.943,4-1-0,0,104.012,- 17.8,+ 14.7,+ 13.8,+ 15.3,+ 16.0
Loma Lookboonmee,141.704,5-2-0,2,94.531,+ 14.8,+ 15.5,- 18.1,+ 14.6,+ 15.3
Chael Sonnen,141.689,7-7-0,0,184.726,- 12.3,+ 15.5,- 11.2,- 10.0,+ 19.3
Lauren Murphy,141.681,8-6-0,0,120.221,- 13.9,+ 15.0,- 12.7,+ 15.6,+ 15.0
Thiago Moises,141.631,6-4-0,2,131.738,+ 14.8,+ 15.8,- 15.7,- 12.7,+ 17.1
Alan Jouban,141.390,8-5-0,1,117.035,+ 14.8,- 18.0,+ 16.6,- 17.4,- 16.0
Uriah Hall,141.373,10-9-0,0,145.058,- 15.7,- 14.5,+ 18.0,+ 19.4,+ 17.9
Alexandr Romanov,141.059,5-2-0,0,118.668,- 14.7,- 16.7,+ 10.3,+ 13.8,+ 15.9
Dan Hardy,140.852,6-4-0,2,151.958,+ 16.8,+ 16.4,- 16.3,- 16.4,- 17.8
Kai Kara-France,140.576,7-4-0,0,122.660,- 15.9,- 16.1,+ 15.8,+ 16.6,+ 15.6
Sergio Moraes,140.500,8-5-1,0,128.023,- 15.6,- 17.4,- 17.5,+ 14.3,+ 15.1
Nicolas Dalby,140.332,5-3-1,2,121.706,+ 16.7,+ 17.6,- 14.4,+ 18.1,+ 19.4
John Makdessi,140.173,11-8-0,0,119.126,- 18.0,+ 14.0,- 13.9,+ 14.7,+ 14.9
Chris Wade,140.058,5-2-0,1,107.642,+ 14.2,- 18.0,- 17.2,+ 13.8,+ 14.5
Jon Madsen,140.023,4-1-0,0,94.566,- 17.1,+ 12.6,+ 14.6,+ 13.9,+ 16.0
Jussier Formiga,139.955,9-7-0,0,142.807,- 15.7,- 17.8,- 13.5,+ 15.7,+ 17.0
Thiago Tavares,139.847,10-7-1,0,116.126,- 17.2,+ 16.7,- 18.7,+ 16.1,+ 15.4
Jairzinho Rozenstruik,139.813,7-5-0,0,160.373,- 15.7,+ 15.9,- 15.4,- 14.6,+ 15.6
Laverne Clark,139.691,4-1-0,0,94.021,- 20.0,+ 13.9,+ 14.6,+ 15.3,+ 16.0
Casey O'Neill,139.516,4-1-0,0,92.529,- 18.1,+ 12.4,+ 14.5,+ 15.4,+ 15.2
Francis Carmont,139.087,6-3-0,0,127.859,- 15.0,- 17.4,- 18.3,+ 15.6,+ 13.2
Gray Maynard,139.004,11-7-1,0,142.347,- 15.5,+ 14.7,- 17.9,+ 13.2,- 20.1
Dustin Ortiz,138.944,8-6-0,0,128.913,- 12.5,+ 16.6,+ 16.6,+ 16.8,- 15.2
Frank Mir,138.623,16-11-0,0,127.904,- 16.6,- 13.2,+ 15.0,+ 14.2,- 19.2
Aaron Simpson,138.310,7-4-0,0,114.576,- 16.2,+ 13.5,- 18.0,+ 13.3,+ 16.0
Matt Frevola,138.271,5-3-1,3,120.165,+ 18.8,+ 17.4,+ 16.7,- 16.1,- 15.7
Macy Chiasson,138.150,6-3-0,0,110.293,- 16.8,+ 15.8,- 15.8,+ 13.8,+ 14.8
Tecia Torres,137.830,9-6-0,0,121.753,- 16.0,+ 14.1,+ 14.9,+ 16.4,- 16.3
Taila Santos,137.805,4-2-0,0,136.625,- 12.0,+ 15.0,+ 14.2,+ 18.4,+ 18.2
Virna Jandiroba,137.629,5-3-0,2,121.612,+ 18.3,+ 14.5,- 14.8,+ 16.5,- 14.9
Josh Koscheck,137.594,15-10-0,0,136.311,- 17.4,- 17.3,- 20.3,- 20.6,- 17.6
Renato Sobral,137.339,6-4-0,1,132.188,+ 15.7,- 16.4,- 11.3,+ 15.3,+ 15.1
John Dodson,137.196,10-7-0,0,135.691,- 16.9,+ 16.5,- 16.3,- 16.3,+ 16.0
Askar Askarov,137.050,3-1-1,0,145.272,- 15.8,+ 19.8,+ 18.1,+ 14.8,+ 0.1
Karol Rosa,136.961,5-2-0,0,100.413,- 16.9,+ 13.6,- 18.5,+ 13.7,+ 15.3
Sean Pierson,136.785,4-2-0,3,124.307,+ 14.5,+ 15.8,+ 16.5,- 13.4,- 15.3
Jared Gordon,136.562,7-5-0,0,130.376,- 16.3,+ 17.4,- 14.7,+ 16.8,+ 15.9
Enrique Barzola,136.561,6-3-1,1,109.221,- 0.2,- 17.8,+ 13.4,- 17.9,+ 13.9
Eddie Alvarez,136.408,4-3-0,0,190.069,- 11.8,+ 15.3,- 12.9,+ 21.6,+ 18.6
Damon Jackson,136.218,5-3-1,0,118.159,- 17.0,+ 17.1,+ 15.0,+ 16.6,+ 16.9
Murilo Bustamante,136.151,3-1-0,2,131.143,+ 18.1,+ 17.4,- 14.6,+ 15.3,+ 0.0
Nassourdine Imavov,135.975,4-2-0,0,134.052,- 14.0,+ 16.6,+ 16.8,+ 16.6,- 16.0
Chris Curtis,135.956,4-2-0,0,145.348,- 16.2,+ 15.7,- 15.4,+ 15.6,+ 18.1
Pannie Kianzad,135.923,5-3-0,1,113.301,+ 15.1,- 15.6,+ 16.1,+ 16.5,+ 17.1
Shane Carwin,135.763,4-2-0,0,149.474,- 14.1,- 17.1,+ 17.8,+ 17.1,+ 15.2
Patrick Smith,135.695,4-2-0,1,122.938,+ 15.1,- 13.4,+ 16.6,+ 16.7,+ 16.7
Luke Rockhold,135.473,6-5-0,0,183.313,- 16.0,- 17.8,- 14.6,+ 13.9,- 13.9
Ignacio Bahamondes,134.971,3-1-0,3,118.709,+ 15.2,+ 15.8,+ 18.0,- 14.0,+ 0.0
Ilir Latifi,134.830,9-7-0,0,131.558,- 17.0,+ 15.7,+ 15.8,- 12.6,- 17.8
Douglas Silva de Andrade,134.817,7-5-0,1,114.182,+ 17.3,- 15.3,+ 15.2,+ 15.2,- 16.0
Jacare Souza,134.683,9-7-0,0,172.945,- 16.9,- 15.6,- 17.7,- 17.7,+ 17.5
John Moraga,134.627,8-6-0,0,130.229,- 16.1,+ 15.9,+ 15.9,+ 15.9,- 14.8
Claudia Gadelha,134.591,7-5-0,0,125.503,- 15.0,+ 15.0,+ 15.1,- 16.9,+ 16.7
Dominick Reyes,134.551,6-4-0,0,159.183,- 15.6,- 18.3,- 16.1,- 9.5,+ 17.0
Ray Borg,134.542,7-5-0,0,128.539,- 17.5,+ 15.7,+ 15.0,- 17.8,- 10.3
Paul Craig,134.494,8-6-1,0,115.249,- 17.3,- 18.5,+ 15.1,+ 15.7,+ 17.7
Alexander Gustafsson,134.377,10-8-0,0,162.454,- 17.4,- 15.6,- 17.1,- 10.7,+ 17.1
Raoni Barcelos,134.265,6-3-0,0,107.503,- 16.0,+ 13.6,- 18.5,- 18.7,+ 13.3
Khalil Rountree Jr.,133.986,7-5-0,3,101.730,+ 18.3,+ 16.2,+ 16.1,- 18.1,- 16.5
Krzysztof Soszynski,133.812,6-3-0,0,96.856,- 18.9,+ 13.5,+ 14.2,- 18.6,+ 14.7
Shawn Jordan,133.698,6-4-0,0,124.056,- 16.9,+ 15.8,+ 15.1,+ 15.0,- 15.2
Chris Lytle,133.521,10-10-0,1,120.324,+ 16.3,- 17.6,+ 16.4,+ 17.2,+ 16.8
Mike Davis,133.480,3-1-0,3,110.046,+ 15.1,+ 15.9,+ 15.9,- 13.4,+ 0.0
Bas Rutten,133.440,2-0-0,2,124.409,+ 16.0,+ 17.5,+ 0.0,+ 0.0,+ 0.0
Casey Kenney,133.192,5-3-0,0,136.525,- 15.4,- 16.4,+ 15.9,+ 15.9,+ 15.7
Phil Rowe,133.071,3-1-0,3,105.710,+ 16.9,+ 16.1,+ 16.8,- 16.7,+ 0.0
Josh Culibao,133.020,3-1-1,4,101.923,+ 16.7,+ 16.2,+ 16.8,+ 0.0,- 16.6
Adlan Amagov,132.791,2-0-0,2,116.598,+ 16.8,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Michael Morales,132.692,2-0-0,2,116.298,+ 15.2,+ 17.5,+ 0.0,+ 0.0,+ 0.0
Rinat Fakhretdinov,132.647,2-0-0,2,114.688,+ 17.4,+ 15.3,+ 0.0,+ 0.0,+ 0.0
Matthew Semelsberger,132.618,5-3-0,0,128.643,- 16.0,+ 18.4,- 14.4,+ 14.6,+ 15.3
Cody Durden,132.572,4-2-1,3,97.819,+ 15.2,+ 15.9,+ 15.2,- 16.1,+ 15.9
Nasrat Haqparast,132.522,6-4-0,1,117.300,+ 18.0,- 15.6,- 15.0,+ 14.6,+ 15.3
Joel Alvarez,132.482,4-2-0,0,115.888,- 15.7,+ 15.7,+ 14.4,+ 16.6,+ 16.7
Dennis Bermudez,132.249,10-7-0,1,125.282,+ 14.4,- 17.4,- 17.7,- 14.2,- 18.3
Aiemann Zahabi,132.124,4-2-0,3,103.186,+ 15.3,+ 16.7,+ 16.8,- 16.7,- 16.0
Bruno Silva,132.112,4-2-0,1,123.017,+ 19.1,- 16.0,- 17.4,+ 15.2,+ 15.9
Melvin Guillard,132.102,12-9-0,0,120.919,- 16.4,+ 13.9,- 18.1,- 16.3,+ 13.7
Kurt Pellegrino,132.080,7-5-0,0,120.412,- 16.8,- 15.5,+ 13.8,+ 14.7,+ 16.5
Tabatha Ricci,132.030,3-1-0,3,101.043,+ 14.6,+ 15.9,+ 16.7,- 15.3,+ 0.0
Phillip Miller,131.995,2-0-0,2,107.948,+ 16.0,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Jasmine Jasudavicius,131.968,3-1-0,2,107.442,+ 16.7,+ 16.0,- 16.7,+ 16.0,+ 0.0
Chris Holdsworth,131.937,2-0-0,2,107.314,+ 15.9,+ 16.0,+ 0.0,+ 0.0,+ 0.0
William Gomis,131.936,2-0-0,2,107.302,+ 15.9,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Michael Graves,131.931,2-0-1,3,110.434,- 0.0,+ 16.0,+ 16.0,+ 0.0,+ 0.0
Cameron Saaiman,131.834,2-0-0,2,106.197,+ 15.8,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Arjan Bhullar,131.817,3-1-0,2,106.941,+ 16.0,+ 15.9,- 16.1,+ 16.0,+ 0.0
Dean Lister,131.721,4-2-0,0,122.488,- 14.4,+ 15.6,+ 14.5,- 16.0,+ 15.2
Gavin Tucker,131.607,4-2-0,0,116.111,- 15.2,+ 16.7,+ 16.0,+ 15.3,- 16.7
Ken Shamrock,131.492,7-5-2,0,144.568,- 12.7,- 16.5,+ 13.6,- 14.4,+ 14.0
Andre Fili,131.453,10-8-0,1,117.086,+ 16.3,- 18.3,- 15.5,+ 14.5,- 16.1
Loopy Godinez,131.352,5-3-0,2,98.605,+ 15.2,+ 16.2,- 18.8,+ 16.6,+ 18.1
Abel Trujillo,131.343,6-4-0,0,123.493,- 17.8,- 16.3,+ 13.6,+ 14.3,+ 19.0
Cezar Ferreira,131.329,9-6-0,0,111.858,- 18.3,- 19.1,+ 14.2,+ 14.7,- 16.6
Mohammed Usman,131.264,2-0-0,2,100.000,+ 15.3,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Don Madge,131.264,2-0-0,2,100.000,+ 15.3,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Joel Sutton,131.264,2-0-0,2,100.000,+ 15.3,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Joe Pyfer,131.224,2-0-0,2,98.374,+ 17.4,+ 13.8,+ 0.0,+ 0.0,+ 0.0
Karine Silva,131.180,2-0-0,2,99.043,+ 15.3,+ 15.9,+ 0.0,+ 0.0,+ 0.0
Edimilson Souza,131.175,3-1-0,0,119.819,- 16.7,+ 15.3,+ 16.0,+ 16.7,+ 0.0
Tito Ortiz,131.130,14-11-1,0,154.019,- 15.2,- 18.7,- 13.4,+ 15.8,- 16.1
Jordan Leavitt,131.061,4-2-0,1,110.474,+ 15.3,- 16.1,+ 15.2,+ 15.2,- 16.1
Bryan Caraway,131.054,6-4-0,0,131.193,- 15.7,- 17.5,+ 16.8,+ 14.2,- 14.6
Jacob Volkmann,131.035,6-4-0,0,112.598,- 18.3,+ 13.8,- 17.0,+ 14.9,+ 15.8
Vladimir Matyushenko,131.031,7-5-0,0,129.022,- 15.4,- 16.6,+ 14.4,+ 14.4,- 16.1
Dustin Jacoby,131.029,6-4-1,0,109.902,- 16.7,- 18.3,+ 16.6,+ 16.0,+ 14.4
Claude Patrick,130.761,3-1-0,0,116.786,- 16.7,+ 16.1,+ 16.0,+ 15.3,+ 0.0
Jennifer Maia,130.628,6-5-0,2,135.548,+ 18.1,+ 18.3,- 14.3,- 13.6,+ 14.6
Alexander Hernandez,130.583,6-5-0,1,158.396,+ 19.1,- 15.9,- 15.9,+ 14.7,- 17.1
Alex Hunter,130.529,2-0-0,2,91.632,+ 15.3,+ 15.2,+ 0.0,+ 0.0,+ 0.0
George Sotiropoulos,130.512,7-4-0,0,122.506,- 18.9,- 17.8,- 19.6,- 19.1,+ 14.4
Jeremy Kennedy,130.451,3-1-0,0,115.194,- 16.1,+ 14.6,+ 16.0,+ 16.0,+ 0.0
Taylor Lapilus,130.428,3-1-0,1,107.035,+ 15.4,- 16.2,+ 15.3,+ 16.0,+ 0.0
Cory McKenna,130.406,3-1-0,2,98.907,+ 16.0,+ 15.1,- 17.5,+ 16.7,+ 0.0
Jake Shields,130.390,4-3-0,0,161.585,- 17.6,+ 19.9,+ 16.1,+ 15.1,- 14.2
Evan Dunham,130.325,11-9-1,0,144.533,- 17.5,- 14.4,- 16.9,- 0.0,+ 13.0
Darren Till,130.309,6-5-1,0,172.450,- 15.7,- 13.1,- 13.4,+ 17.9,- 16.7
Carlston Harris,130.282,3-1-0,1,106.689,+ 14.0,- 15.7,+ 15.9,+ 16.0,+ 0.0
Alberto Mina,130.222,3-1-0,0,113.798,- 17.3,+ 17.1,+ 14.4,+ 16.0,+ 0.0
Gleison Tibau,130.218,16-12-0,0,118.931,- 18.6,- 17.3,- 19.0,- 16.6,+ 14.7
Viscardi Andrade,129.949,3-1-0,2,96.142,+ 15.4,+ 15.3,- 16.0,+ 15.3,+ 0.0
Luis Pena,129.934,5-3-0,1,110.726,+ 14.6,- 16.7,+ 15.2,- 17.6,+ 18.4
Yazmin Jauregui,129.744,2-0-0,2,83.346,+ 13.7,+ 16.0,+ 0.0,+ 0.0,+ 0.0
Michal Oleksiejczuk,129.565,6-4-0,0,114.222,- 15.9,+ 15.3,+ 13.4,- 16.0,+ 16.0
Gregory Rodrigues,129.400,4-2-0,0,114.296,- 18.2,+ 16.0,+ 16.6,- 17.5,+ 16.6
Joaquin Buckley,129.369,6-4-0,1,109.022,+ 15.0,- 15.7,- 16.6,+ 15.3,+ 15.7
Billy Quarantillo,129.312,5-3-0,0,122.973,- 15.7,+ 15.9,- 16.1,+ 15.9,- 16.7
Cody Stamann,129.197,7-5-1,0,134.584,- 17.3,+ 14.5,+ 14.0,- 16.0,- 15.9
Constantinos Philippou,129.077,6-4-0,0,121.908,- 16.9,+ 14.2,- 18.9,- 15.6,+ 16.8
Stephan Bonnar,129.016,8-7-0,0,131.750,- 8.8,+ 17.2,+ 15.1,+ 18.6,- 14.7
Joselyne Edwards,128.863,4-2-0,3,91.115,+ 13.9,+ 14.4,+ 16.0,- 15.5,- 15.3
Tom Breese,128.822,5-3-0,0,121.664,- 15.0,+ 14.7,- 17.3,+ 16.7,- 15.9
Diego Brandao,128.796,6-4-0,0,116.594,- 17.3,+ 14.6,+ 16.0,- 15.9,- 15.6
Marco Ruas,128.763,4-2-0,0,122.396,- 18.0,- 16.0,+ 14.7,+ 16.0,+ 16.8
Albert Tumenov,128.678,5-3-0,0,115.049,- 17.4,- 16.8,+ 13.7,+ 15.9,+ 16.7
Tagir Ulanbekov,128.524,3-1-0,1,95.328,+ 16.9,- 18.9,+ 15.3,+ 15.3,+ 0.0
Magnus Cedenblad,128.475,4-2-0,0,100.572,- 18.1,+ 14.6,+ 15.2,+ 16.7,+ 15.3
Miles Johns,128.305,4-2-0,1,99.411,+ 15.0,- 17.3,+ 14.6,+ 16.0,- 16.7
Brock Lesnar,128.275,4-3-0,0,162.257,- 18.1,- 14.6,+ 17.1,+ 19.1,+ 21.1
Desmond Green,128.137,4-3-0,2,142.826,+ 15.4,+ 15.6,- 13.1,+ 18.6,- 12.8
Iuri Alcantara,128.129,10-7-0,0,109.339,- 17.4,+ 14.5,- 16.3,- 19.0,+ 14.4
Brian Ebersole,128.054,5-3-0,0,124.826,- 17.3,+ 15.7,- 16.0,- 18.9,+ 15.3
Daniel Kelly,127.967,6-4-0,0,129.544,- 16.7,- 16.8,- 16.8,+ 18.4,+ 14.5
Max Griffin,127.796,7-7-0,1,137.234,+ 18.0,- 10.6,+ 17.3,+ 18.7,+ 17.5
Ramazan Emeev,127.776,5-3-0,0,125.856,- 17.3,- 17.7,+ 13.3,+ 14.4,- 15.5
Gerald Harris,127.730,3-1-0,0,100.000,- 18.1,+ 14.6,+ 15.3,+ 16.0,+ 0.0
Rodolfo Vieira,127.659,4-2-0,1,101.078,+ 15.5,- 15.6,+ 14.6,- 18.1,+ 14.6
Zubaira Tukhugov,127.521,5-3-1,0,112.086,- 18.1,+ 17.2,- 15.9,+ 15.5,+ 1.5
